CountryYear,Country,Year,Happiness,FBBNKCAPAZS,FBASTNPERZS,ENBIRTHRDNO,ICBUSDISCXQ,ICREGCOSTPCZS,ICCRDINFOXQ,DTDISDLXFCD,ICBUSDFRNXQ,ICBUSEASEXQ,ENFSHTHRDNO,SHSTAACSN,SHSTAACSNRU,SHSTAACSNUR,SHH2OSAFEZS,SHH2OSAFERUZS,SHH2OSAFEURZS,DTINTDLXFCD,DTINTDPNGCD,SHMMRRISKZS,SHMMRRISK,ENMAMTHRDNO,SHSTAMMRT,IQSCIMTHD,SPDYNIMRTIN,SPDYNIMRTFEIN,SPDYNIMRTMAIN,SHDYNNMRT,SHDYNMORT,SHDYNMORTFE,SHDYNMORTMA,SHDTHIMRT,SHMMRDTHS,SHDTHNMRT,SHDTHMORT,IQSCIOVRL,IQSCIPRDC,ENHPTTHRDNO,DTAMTBLATCD,DTDISBLATCD,DTINTBLATCD,DTAMTPBNDCD,DTINTPBNDCD,DTAMTPCBKCD,DTDISPCBKCD,DTINTPCBKCD,DTAMTMLATCD,DTDISMLATCD,DTINTMLATCD,DTAMTOFFTCD,DTDISOFFTCD,DTINTOFFTCD,DTAMTPROPCD,DTDISPROPCD,DTINTPROPCD,DTAMTPRVTCD,DTDISPRVTCD,DTINTPRVTCD,DTAMTDLXFCD,DTAMTDPNGCD,ICCRDPRVTZS,ICWRHPROC,ICPRPPROC,SGGENPARLZS,ICCRDPUBLZS,IQSCISRCE,ICREGPROC,ICLGLCREDXQ,ICTAXPAYM,ICWRHDURS,ICLGLDURS,ICELCTIME,ICPRPDURS,ICREGDURS,ICTAXDURS,ICISVDURS,ICTAXTOTLCPZS
Algeria2012,Algeria,2012,5.604595661,7.868794151,11.72638145,,4,12.1,,28540000,51.16,,,87,80.2,90.1,84.9,82.2,86.1,103139000,18300000,0.445115943,220,,145,60,22.4,,,15.9,26.1,,,21801,1400,15456,24980,58.88888889,76.66667,,487246000,28310000,66221000,0,0,8848000,0,1363000,1146000,0,428000,488392000,28310000,66649000,91800000,0,16827000,100648000,0,18190000,741690000,152650000,0,18,10,31.6,2.3,40,13,,27,205,630,158,55,24,451,,72.8
Algeria2014,Algeria,2014,6.354898453,7.401236097,9.207772614,,4,11,0,42753000,45.4,161,,87.4,81.5,89.9,84,81.9,84.9,37007000,9460000,0.430674102,230,,141,50,22,,,15.6,25.6,,,21375,1300,15138,24676,52.22222222,76.66666667,,136903000,3943000,16612000,0,0,4058000,0,471000,411000,0,100000,137314000,3943000,16712000,68328000,0,10364000,72386000,0,10835000,233760000,24060000,0,18,10,31.6,2,30,13,2,27,205,630,180,55,22,385,1.3,72.7
Angola2011,Angola,2011,5.589000702,,,,4,163.1,,4793203000,40.63,,,47.6,20.9,86.2,47.5,29.8,73,153753000,0,3.679100622,27,,546,40,106.8,,,51.9,177.3,,,107441,5600,52434,177033,47.77777778,73.33333,,809709000,2332104000,73903000,0,183000,1800232000,2287650000,65459000,9997000,20658000,4804000,819706000,2352762000,78707000,61319000,142791000,9404000,1861551000,2440441000,75046000,2681257000,0,0,10,7,38.2,1.8,30,8,,30,203,1296,159,190,66,282,,52.1
Angola2012,Angola,2012,4.360249996,,,,4,143.1,,5214821000,42.88,,,49.1,21.7,87.4,47.8,29,74.2,639657000,0,3.508440831,29,,526,50,104.1,,,51.1,172.2,,,106694,5600,52604,175440,50,80,,1151790000,1053375000,315055000,61000000,1409000,2164303000,1905258000,261336000,12595000,49534000,5581000,1164385000,1102909000,320636000,164673000,1155654000,56276000,2389976000,4111912000,319021000,3554361000,0,0,10,7,34.1,1.8,20,8,,30,203,1296,145,190,66,282,,52.1
Angola2013,Angola,2013,3.937106848,,,,4,130.1,0,7824867000,45.7,,,50.6,22.5,88.6,48.2,28.2,75.4,919330000,0,3.364503638,30,,509,60,101.4,,,50.4,167.1,,,105861,5500,52860,173460,47.77777778,83.33333333,,1365550000,3550290000,407301000,0,46667000,2159520000,3990822000,363222000,14216000,61370000,6792000,1379766000,3611660000,414093000,183993000,222385000,95348000,2343513000,4213207000,505237000,3723279000,0,0,10,7,34.1,2.4,0,8,1,30,203,1296,145,190,66,282,,52
Angola2014,Angola,2014,3.794837952,,,,4,118.8,0,10139811000,37.46,183,,51.1,22.5,88.6,48.6,28.2,75.4,1020689000,0,3.231173547,31,,493,60,98.8,,,49.6,162.2,,,105154,5400,53041,171585,48.88888889,76.66666667,,1623399000,2969373000,435690000,0,70000000,3873055000,5173151000,331810000,25792000,696155000,8554000,1649191000,3665528000,444244000,250560000,1301132000,174635000,4123615000,6474283000,576445000,5772806000,0,0,10,7,36.8,1.8,10,8,1,30,203,1296,145,190,66,282,,52
Argentina2006,Argentina,2006,6.312925339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina2007,Argentina,2007,6.073158264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina2008,Argentina,2008,5.961034298,11.93326041,3.108384744,,7,8.8,,,,,,94.2,91.5,94.5,97.9,91.2,98.6,,,0.145587432,690,,57,90,13.7,,,8.1,15.4,,,10165,420,6001,11422,86.66666667,90,,,,,,,,,,,,,,,,,,,,,,,,100,21,5,40,31.2,80,14,,9,341,590,,51,30.5,453,,107.3
Argentina2009,Argentina,2009,6.424133301,12.47726376,3.466828307,,7,13.7,,,56.91,,,94.5,92.7,94.7,98.1,92.5,98.6,,,0.157271169,640,,62,90,13.4,,,7.8,15,,,9834,460,5715,11017,87.77777778,93.33333,,,,,,,,,,,,,,,,,,,,,,,,100,21,6,38.5,34.3,80,14,,9,341,590,91,51,25.5,453,,107.3
Argentina2010,Argentina,2010,6.441067219,11.27801265,2.117022874,,7,16.7,,,56.76,,,94.9,93.9,95,98.2,93.7,98.7,,,0.145415024,690,,58,90,13,11.6,14.4,7.5,14.6,13.1,16,9495,430,5470,10681,86.66666667,90,,,,,,,,,,,,,,,,,,,,,,,,100,21,6,38.5,30.8,80,14,,9,341,590,91,51,25,453,,107.4
Argentina2011,Argentina,2011,6.775805473,11.15838933,1.395598406,,7,14,,,57.19,,,95.2,95.1,95.2,98.4,95,98.8,,,0.140495454,710,,56,90,12.7,,,7.2,14.2,,,9315,420,5273,10424,85.55555556,86.66667,,,,,,,,,,,,,,,,,,,,,,,,100,21,7,37.4,35.9,80,14,,9,341,590,91,51.5,25,415,,107.4
Argentina2012,Argentina,2012,6.468387127,11.49585249,1.734548721,,7,12.2,,,56.33,,,95.5,96.3,95.4,98.6,96.2,98.8,,,0.137066584,730,,55,90,12.3,,,7,13.8,,,9114,420,5179,10224,85.55555556,86.66667,,,,,,,,,,,,,,,,,,,,,,,,100,21,7,37.4,37,80,14,,9,341,590,91,51.5,25,405,,107.5
Argentina2013,Argentina,2013,6.582260132,12.12074494,1.732582431,,7,19.9,8,,56.48,,,95.8,97.5,95.7,98.8,97.5,98.9,,,0.133253945,750,,54,70,11.9,,,6.8,13.3,,,8931,410,5096,9973,76.66666667,80,,,,,,,,,,,,,,,,,,,,,,,,100,21,7,,41.9,80,14,2,9,341,590,91,51.5,25,405,,119.4
Argentina2014,Argentina,2014,6.671114445,12.5481094,1.990064383,,7,15.1,8,,56.82,117,,96.1,98.3,95.9,98.9,98.7,98.9,,,0.130655156,770,,54,100,11.5,,,6.5,12.9,,,8723,400,4923,9770,83.33333333,70,,,,,,,,,,,,,,,,,,,,,,,,100,21,7,36.6,41.2,80,14,2,9,341,590,92,51.5,25,405,2.8,137.4
Argentina2015,Argentina,2015,6.69713068,12.60788116,1.946659439,50,7,9.7,8,,56.78,121,39,96.4,98.3,96.2,99.1,100,99,,,0.126378674,790,40,52,100,11.1,10,12.2,6.3,12.5,11.3,13.7,8464,390,4797,9513,95.55556667,86.6667,70,,,,,,,,,,,,,,,,,,,,,,,100,21,7,36.18677043,42.6,100,14,2,9,341,590,92,51.5,25,405,2.8,137.4
Armenia2006,Armenia,2006,4.289310932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia2007,Armenia,2007,4.881515503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia2008,Armenia,2008,4.651972294,23.01136724,4.2841892,,5,3.6,,775900000,,,,89.5,78.2,95.8,97.3,93.5,99.4,69541000,58400000,0.072123454,1400,,39,100,17.9,,,10.6,20,,,855,16,505,944,92.22222222,96.66667,,1875000,71577000,2307000,0,0,0,0,0,12828000,92423000,8834000,14703000,164000000,11141000,76000,0,0,76000,0,0,252879000,238100000,24.4,21,3,8.4,2.6,80,8,,50,156,285,,5,17,578,,38.6
Armenia2009,Armenia,2009,4.177581787,20.99481053,4.863619002,,5,2.6,,1247195000,61.82,,,89.5,78.2,95.9,97.9,95,99.5,78999000,56048000,0.06797321,1500,,36,100,17,,,10,19,,,802,15,471,887,93.33333333,100,,5715000,616625000,13871000,0,0,0,0,0,15439000,324277000,9080000,21154000,940902000,22951000,2000,0,0,2000,0,0,299738000,278582000,34.5,21,3,9.2,4.4,80,5,,50,144,285,235,5,14,578,,38.6
Armenia2010,Armenia,2010,4.367811203,20.23822468,3.041411299,,5,3.1,,1734338000,62.37,,,89.5,78.2,95.9,98.4,96.5,99.6,60087000,24953000,0.062265761,1600,,33,100,16.1,14.3,17.9,9.5,18,16,20,749,14,441,831,92.22222222,96.66667,,6251000,71186000,23002000,0,0,0,0,0,17596000,127120000,12132000,23847000,198306000,35134000,2000,0,0,2000,0,0,857040000,833191000,38.3,21,3,9.2,16.9,80,5,,50,144,285,235,7,14,578,,38.6
Armenia2011,Armenia,2011,4.260491371,17.22175677,3.421091513,,5,2.9,,1490279000,64.87,,,89.5,78.2,96,99,98,99.7,128442000,90537000,0.056253101,1800,,31,100,15.3,,,9.1,17.2,,,696,12,413,779,92.22222222,96.66667,,7107000,38880000,23738000,0,0,0,2366000,26000,21378000,164265000,14141000,28485000,203145000,37879000,3000,0,0,3000,2366000,26000,742190000,713702000,46.6,20,3,8.4,23.7,80,3,,34,84,570,235,7,8,498,,38.8
Armenia2012,Armenia,2012,4.319711685,15.93070704,3.669222171,,5,2.5,,1633086000,68.78,,,89.5,78.2,96.1,99.7,99.4,99.8,127878000,84489000,0.052786808,1900,,30,90,14.6,,,8.6,16.3,,,649,12,382,723,86.66666667,90,,7649000,38042000,25480000,0,0,0,10236000,126000,22328000,231688000,17783000,29977000,269730000,43263000,4000,0,0,4000,10236000,126000,854048000,824067000,56,20,3,10.7,20.5,80,3,,13,84,570,235,7,8,372,,38.8
Armenia2013,Armenia,2013,4.277191162,15.2842664,4.485338923,,5,1.1,8,2817190000,70.34,,,89.5,78.2,96.1,99.9,100,99.9,126057000,84355000,0.048293072,2100,,28,100,13.8,,,8.2,15.5,,,598,11,355,671,88.88888889,86.66666667,,513522000,30106000,21294000,0,0,0,3158000,134000,23359000,203992000,20274000,536881000,234098000,41568000,0,0,0,0,703158000,134000,1599449000,1062568000,63.8,20,3,10.7,21.9,80,2,5,10,84,570,180,7,4,372,,35.9
Armenia2014,Armenia,2014,4.453083038,13.5696527,6.969750428,,5,1,8,2080315000,72.68,38,,89.5,78.2,96.2,100,100,100,176430000,105101000,0.04483644,2200,,26,100,13.2,,,7.7,14.7,,,556,10,324,620,87.77777778,83.33333333,,15255000,35851000,6813000,0,42000000,0,1686000,270000,26490000,245621000,22246000,41745000,281472000,29059000,0,0,0,0,1686000,42270000,1076995000,1035250000,65.8,20,3,10.7,23.5,80,2,5,10,84,570,180,7,3,313,1.9,20.1
Armenia2015,Armenia,2015,4.34831953,14.28081465,9.129111625,15,5,1,8,171240000,74.22,35,3,89.5,78.2,96.2,100,100,100,64023000,0,0.042664932,2300,8,25,100,12.6,11.1,13.9,7.4,14.1,12.5,15.6,513,10,301,577,93.33333333,80,71,33949000,55370000,5395000,0,42000000,622000,725000,136000,28051000,115145000,16492000,62000000,170515000,21887000,0,0,0,622000,725000,42136000,62622000,0,94.1,18,3,10.6870229,0,100,2,5,10,84,570,180,7,3,313,1.9,19.9
Australia2005,Australia,2005,7.340688229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia2007,Australia,2007,7.285390854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia2008,Australia,2008,7.253757477,5.4,1.26284999,,8,0.8,,,,,,100,100,100,100,100,100,,,0.012780724,7800,,7,,4.4,,,3,5.2,,,1289,19,879,1508,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,26.7,0,,3,,12,142,395,,4.5,2.5,107,,50
Australia2010,Australia,2010,7.450047016,6.285682013,2.12919079,,8,0.7,,,81.15,,,100,100,100,100,100,100,,,0.01261743,7900,,6,,4.1,3.6,4.5,2.8,4.8,4.3,5.3,1276,20,871,1478,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,24.7,0,,3,,11,112,395,75,4.5,2.5,109,,47.6
Australia2011,Australia,2011,7.405616283,6.070322704,1.964350567,,8,0.7,,,80.98,,,100,100,100,100,100,100,,,0.012783285,7800,,7,,3.8,,,2.6,4.5,,,1186,20,811,1396,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,24.7,0,,3,,11,112,395,75,4.5,2.5,109,,47.3
Australia2012,Australia,2012,7.195585728,6.139611177,1.820384677,,8,0.7,,,81.63,,,100,100,100,100,100,100,,,0.012321331,8100,,6,,3.6,,,2.5,4.3,,,1110,20,770,1323,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,24.7,0,,3,,11,112,395,75,4.5,2.5,109,,47.2
Australia2013,Australia,2013,7.364169121,6.003790733,1.465510015,,8,0.7,7,,81.69,,,100,100,100,100,100,100,,,0.012148165,8200,,6,,3.4,,,2.4,4.1,,,1027,20,725,1243,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,26,0,,3,11,11,112,395,75,4.5,2.5,105,,47.3
Australia2014,Australia,2014,7.288550377,5.877652949,1.099816865,,8,0.7,7,,80.09,12,,100,100,100,100,100,100,,,0.011828061,8500,,6,,3.2,,,2.3,3.9,,,954,19,685,1171,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,5,26,0,,3,11,11,112,395,75,4.5,2.5,105,1,47.4
Australia2015,Australia,2015,7.309060574,6.066660604,1.048986783,50,8,0.7,7,,80.08,13,111,100,100,100,100,100,100,,,0.011521205,8700,56,6,,3,2.7,3.3,2.2,3.8,3.4,4.1,896,19,657,1146,,,92,,,,,,,,,,,,,,,,,,,,,,,100,10,5,26.66666667,0,,3,11,11,112,395,75,4.5,2.5,105,1,47.6
Austria2006,Austria,2006,7.122211456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria2008,Austria,2008,7.180953979,6.284054714,1.903069428,,5,5.1,,,,,,100,100,100,100,100,100,,,0.005117587,19500,,4,,3.8,,,2.6,4.6,,,300,3,205,364,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,10,3,27.3,1.3,,8,,12,223,397,,31.5,25,170,,51.1
Austria2010,Austria,2010,7.302678585,7.492756256,2.830717152,,5,5.2,,,76.8,,,100,100,100,100,100,100,,,0.005378181,18600,,4,,3.6,3.2,4,2.5,4.4,3.9,4.8,278,3,193,341,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,11,3,27.9,1.4,,8,,12,223,397,23,20.5,25,170,,51.3
Austria2011,Austria,2011,7.470512867,7.186052759,2.706815505,,5,5.2,,,76.79,,,100,100,100,100,100,100,,,0.005407468,18500,,4,,3.4,,,2.4,4.2,,,264,3,187,327,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,11,3,27.9,1.7,,8,,12,223,397,23,20.5,25,170,,50.8
Austria2012,Austria,2012,7.400688648,7.770113643,2.813364766,,5,4.9,,,77.95,,,100,100,100,100,100,100,,,0.005163604,19400,,4,,3.3,,,2.4,4,,,260,3,189,315,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,11,3,27.9,1.8,,8,,12,223,397,23,20.5,25,170,,52.3
Austria2013,Austria,2013,7.498802662,7.985940154,2.866541695,,5,4.8,7,,78.54,,,100,100,100,100,100,100,,,0.00540161,18500,,4,,3.2,,,2.3,3.9,,,257,3,184,312,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,11,3,33.3,1.7,,8,5,12,223,397,23,20.5,25,166,,51.9
Austria2014,Austria,2014,6.949999809,6.810193182,3.473374315,,5,0.3,7,,78.36,20,,100,100,100,100,100,100,,,0.005466816,18300,,4,,3,,,2.2,3.7,,,244,3,179,300,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,11,3,32.2,2,,8,5,12,223,397,23,20.5,22,166,1.1,51.7
Austria2015,Austria,2015,7.07644701,6.652116715,3.52521162,12,5,0.3,7,,78.38,21,11,100,100,100,100,100,100,,,0.005491818,18200,3,4,,2.9,2.6,3.1,2.1,3.5,3.2,3.9,239,3,173,288,,,21,,,,,,,,,,,,,,,,,,,,,,,52.8,11,3,30.6010929,2.2,,8,5,12,223,397,23,20.5,22,166,1.1,51.7
Azerbaijan2006,Azerbaijan,2006,4.727870941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
